"","st","year","a_mean_dentist","a_mean_doctor","a_mean_nurse","a_mean_den_doc","a_mean_den_nurse"
"441","NE",2008,169230,162320,53490,1.0425702316412,3.16376892877173
"442","NE",2009,158630,165490,55040,0.958547344250408,2.88208575581395
"443","NE",2010,152890,178910,56480,0.854563747135431,2.70697592067989
"444","NE",2011,159540,194700,58060,0.819414483821263,2.74784705477093
"445","NE",2012,180260,195890,56350,0.920210322119557,3.19893522626442
"446","NE",2013,162710,217840,56920,0.746924348145428,2.85857343640197
"447","NE",2014,151130,222480,57550,0.679297015462064,2.62606429192007
"448","NE",2015,153460,216200,58970,0.709805735430157,2.60234017296931
"449","NE",2016,158770,226520,60370,0.700909411972453,2.62994864999172
"450","NE",2017,148230,227020,62210,0.652938067130649,2.38273589455072
"451","NE",2018,135080,237320,64470,0.569189280296646,2.0952380952381
"452","NH",2004,164340,141880,50250,1.15830279109106,3.27044776119403
"453","NH",2005,157180,146900,53340,1.06997957794418,2.94675665541807
"454","NH",2006,153660,141380,55200,1.08685811288725,2.78369565217391
"455","NH",2007,150500,145210,58900,1.03642999793403,2.55517826825127
"456","NH",2008,166330,160540,60210,1.03606577799925,2.7624979239329
"457","NH",2009,182720,153500,62060,1.19035830618893,2.94424750241702
"458","NH",2010,222860,181560,63340,1.22747301167658,3.51847173981686
"459","NH",2011,237430,196150,65280,1.21045118531736,3.63710171568627
"460","NH",2012,234010,202860,63920,1.15355417529331,3.66098247809762
"461","NH",2013,229040,202410,64540,1.13156464601551,3.54880694143167
"462","NH",2014,218230,206440,65790,1.05711102499516,3.31706946344429
"463","NH",2015,217790,214020,67190,1.01761517615176,3.24140497097782
"464","NH",2016,220480,236830,68680,0.930963138115948,3.21025043680839
"465","NH",2017,219920,258670,70040,0.85019522944292,3.13992004568818
"466","NH",2018,226300,264470,72760,0.855673611373691,3.11022539857064
"467","NJ",2004,145660,132070,59810,1.10289997728477,2.43537869921418
"468","NJ",2005,128330,128090,63070,1.00187368256695,2.03472332329158
"469","NJ",2006,134130,147320,66600,0.910467010589194,2.01396396396396
"470","NJ",2007,138470,151950,70900,0.911286607436657,1.95303244005642
"471","NJ",2008,149760,158010,72870,0.947788114676286,2.05516673528201
"472","NJ",2009,154130,160260,74990,0.961749656807688,2.05534071209495
"473","NJ",2010,147850,158150,75440,0.934871957002845,1.95983563096501
"474","NJ",2011,150940,165360,76460,0.912796323173682,1.97410410672247
"475","NJ",2012,150980,162050,75820,0.93168775069423,1.99129517277763
"476","NJ",2013,153690,175050,77360,0.877977720651242,1.98668562564633
"477","NJ",2014,156640,162360,78330,0.964769647696477,1.99974466998596
"478","NJ",2015,166700,174080,79840,0.957605698529412,2.08792585170341
"479","NJ",2016,151750,183410,80580,0.827381276920561,1.88322164308761
"480","NJ",2017,164310,216880,82010,0.757607893766138,2.00353615412755
"481","NJ",2018,169990,224640,82750,0.756721866096866,2.05425981873112
"482","NM",2004,118020,146260,51690,0.806919185012991,2.28322692977365
"483","NM",2005,139570,155050,54380,0.900161238310223,2.56656859139389
"484","NM",2006,136740,151010,57000,0.905502946824714,2.39894736842105
"485","NM",2007,145430,153120,59570,0.949777951933124,2.44132952828605
"486","NM",2008,151860,156200,61830,0.972215108834827,2.45608927704998
"487","NM",2009,174560,176090,63550,0.991311261286842,2.74681353265146
"488","NM",2010,172730,194420,66090,0.888437403559305,2.61355727038886
"489","NM",2011,172790,185660,66660,0.930679737153937,2.59210921092109
"490","NM",2012,164700,179730,66710,0.916374561842764,2.46889521810823
"491","NM",2013,175020,169480,64900,1.03268822279915,2.69676425269646
"492","NM",2014,187920,172700,65790,1.08812970469021,2.85636114911081
"493","NM",2015,170570,167140,66030,1.02052171831997,2.58321974859912
"494","NM",2016,167650,174500,68670,0.960744985673352,2.44138634046891
"495","NM",2017,167720,160780,69840,1.04316457270805,2.40148911798396
"496","NM",2018,173610,176120,71730,0.985748353395412,2.42032622333752
"497","NV",2004,127490,181150,57510,0.703781396632625,2.21683185532951
"498","NV",2005,135370,158820,59660,0.852348570708979,2.26902447200805
"499","NV",2006,137090,158080,63150,0.867219129554656,2.17086302454473
"500","NV",2007,164250,156350,67430,1.05052766229613,2.43585940975827
"501","NV",2008,161830,162850,70700,0.993736567393307,2.28896746817539
"502","NV",2009,168940,180390,72940,0.936526414989744,2.31615026048807
"503","NV",2010,166950,191100,75320,0.873626373626374,2.21654275092937
"504","NV",2011,158050,204990,77840,0.771013220157081,2.0304470709147
"505","NV",2012,137470,180560,77870,0.761353566681436,1.76537819442661
"506","NV",2013,128920,170770,78800,0.754933536335422,1.63604060913706
"507","NV",2014,144770,158270,80240,0.914702723194541,1.80421236291127
"508","NV",2015,195360,160070,81460,1.22046604610483,2.39823226123251
"509","NV",2016,210690,183200,83790,1.15005458515284,2.51450053705693
"510","NV",2017,209360,197500,84980,1.06005063291139,2.46363850317722
"511","NV",2018,210710,202430,85620,1.04090302820728,2.46099042279841
"512","NY",2004,138570,138900,60680,0.997624190064795,2.2836189848385
"513","NY",2005,133580,144500,63010,0.924429065743945,2.1199809554039
"514","NY",2006,137660,158800,66390,0.866876574307305,2.07350504594065
"515","NY",2007,144660,153230,69620,0.944071004372512,2.07785119218615
"516","NY",2008,151880,142510,73160,1.06574977194583,2.07599781301258
"517","NY",2009,149370,137000,72790,1.09029197080292,2.05206759170216
"518","NY",2010,150390,152270,74000,0.987653510212123,2.0322972972973
"519","NY",2011,151860,170330,75370,0.891563435683673,2.01486002388218
"520","NY",2012,156480,177430,74100,0.881925266302204,2.11174089068826
"521","NY",2013,160950,181150,75470,0.888490201490478,2.1326354842984
"522","NY",2014,164030,187140,77110,0.876509565031527,2.12722085332642
"523","NY",2015,173980,181870,78950,0.956617364051245,2.20367321089297
"524","NY",2016,170300,184050,80830,0.925292040206466,2.10689100581467
"525","NY",2017,168120,186460,83450,0.901641102649362,2.01461953265428
"526","NY",2018,164520,192900,85610,0.852877138413686,1.92173811470623
"527","OH",2004,158730,145190,50560,1.09325711137131,3.13943829113924
"528","OH",2005,154630,152480,53150,1.01410020986359,2.90931326434619
"529","OH",2006,165510,156720,55130,1.05608728943338,3.00217667331761
"530","OH",2007,158380,160840,57320,0.984705297189754,2.76308443824145
"531","OH",2008,165400,160140,58750,1.03284625952292,2.81531914893617
"532","OH",2009,160250,163870,59740,0.977909318362116,2.6824573150318
"533","OH",2010,160450,163330,60590,0.982366987081369,2.6481267535897
"534","OH",2011,170220,158330,61710,1.07509631781722,2.75838599902771
"535","OH",2012,177980,163200,60970,1.0905637254902,2.91914056093161
"536","OH",2013,188800,171180,61750,1.10293258558243,3.05748987854251
"537","OH",2014,186100,184450,62490,1.00894551368935,2.97807649223876
"538","OH",2015,191270,191890,62800,0.996768982229402,3.04570063694268
"539","OH",2016,193430,200060,63960,0.966859942017395,3.02423389618512
"540","OH",2017,187770,198230,65500,0.947233012157595,2.86671755725191
"541","OH",2018,197150,193140,66820,1.0207621414518,2.95046393295421
"542","OK",2004,148710,165490,45230,0.898604145265575,3.28786203847004
"543","OK",2005,114610,135450,47200,0.846142488002953,2.42817796610169
"544","OK",2006,121740,147240,48480,0.82681336593317,2.51113861386139
"545","OK",2007,114920,162270,50330,0.708202378751464,2.28333002185575
"546","OK",2008,130710,168440,51880,0.77600332462598,2.51946800308404
"547","OK",2009,134900,165270,53210,0.816240091970715,2.53523773726743
"548","OK",2010,157230,167080,54340,0.941046205410582,2.89344865660655
"549","OK",2011,160560,181640,56130,0.883946267341995,2.86050240513095
"550","OK",2012,158050,198550,55980,0.796021153361874,2.8233297606288
"551","OK",2013,143910,208720,57130,0.689488309697202,2.51899177314896
"552","OK",2014,147820,136990,57830,1.07905686546463,2.55611274425039
"553","OK",2015,155250,144100,59040,1.07737682165163,2.62957317073171
"554","OK",2016,168820,155420,60630,1.08621798996268,2.78443015009071
"555","OK",2017,161010,223760,61640,0.719565606006435,2.61210253082414
"556","OK",2018,156060,225140,63080,0.693168695034201,2.47400126823082
"557","OR",2006,140900,145770,63770,0.966591205323455,2.20950290105065
"558","OR",2007,147210,144090,67250,1.02165313345826,2.18899628252788
"559","OR",2008,162720,163750,71210,0.993709923664122,2.28507232130319
"560","OR",2009,177680,159490,73300,1.11405103768261,2.42401091405184
"561","OR",2010,194060,162770,75350,1.1922344412361,2.57544790975448
"562","OR",2011,200230,168920,77220,1.18535401373431,2.59298109298109
"563","OR",2012,193290,178080,78530,1.08541105121294,2.4613523494206
"564","OR",2013,178170,183460,80440,0.971165376648861,2.21494281452014
"565","OR",2014,169110,182880,82940,0.924704724409449,2.03894381480588
"566","OR",2015,193960,181570,83800,1.06823814506802,2.3145584725537
"567","OR",2016,192280,187200,87000,1.02713675213675,2.21011494252874
"568","OR",2017,202030,213840,88770,0.944771791994014,2.27588149149487
"569","OR",2018,190690,226030,91080,0.843649073131885,2.09365393061045
"570","PA",2004,109660,132590,52770,0.827060864318576,2.07807466363464
"571","PA",2005,111630,130150,54040,0.857702650787553,2.06569207994078
"572","PA",2006,121910,138610,57040,0.879518072289157,2.13727208976157
"573","PA",2007,126700,153980,59280,0.822834134303156,2.13731443994602
"574","PA",2008,131410,167050,61390,0.786650703382221,2.14057664114677
"575","PA",2009,139400,172840,63600,0.806526267067808,2.19182389937107
"576","PA",2010,143900,163310,65070,0.881146286204152,2.2114645766098
"577","PA",2011,155740,161430,67140,0.964752524313944,2.31963062257968
"578","PA",2012,157970,173150,65000,0.912330349408028,2.43030769230769
"579","PA",2013,164890,187470,66010,0.879554061983251,2.49795485532495
"580","PA",2014,166690,190470,66570,0.875150942405628,2.50398077211957
"581","PA",2015,150620,205310,67550,0.733622327212508,2.22975573649149
"582","PA",2016,140340,213320,68770,0.657884867804238,2.04071542823906
"583","PA",2017,138200,216800,69820,0.637453874538745,1.97937553709539
"584","PA",2018,153950,208470,70390,0.738475560032619,2.18710044040347
"585","PR",2004,56790,70350,23140,0.807249466950959,2.45419187554019
"586","PR",2005,64900,73450,24270,0.88359428182437,2.6740832303255
"587","PR",2006,54620,77470,25130,0.705047115012263,2.17349781138082
"588","PR",2007,72380,78330,26020,0.924039320822163,2.78170637970792
"589","PR",2008,91040,70340,28270,1.29428490190503,3.22037495578352
"590","PR",2009,82530,68930,29950,1.19730161032932,2.75559265442404
"591","PR",2010,77190,69760,31620,1.10650802752294,2.44117647058824
"592","PR",2011,63460,75410,32510,0.841532953189232,1.95201476468779
"593","PR",2012,46690,72030,32930,0.648202137998056,1.4178560583055
"594","PR",2013,59990,69220,32800,0.866657035538862,1.82896341463415
"595","PR",2014,52520,71200,33740,0.737640449438202,1.556609365738
"596","PR",2015,62350,73300,34350,0.850613915416098,1.81513828238719
"597","PR",2016,52060,82710,34810,0.629428122355217,1.49554725653548
"598","PR",2017,61910,91140,34630,0.679284617072636,1.78775628068149
"599","PR",2018,54670,86970,34940,0.628607565827297,1.56468231253578
"600","RI",2004,111040,173980,55360,0.638234279802276,2.00578034682081
"601","RI",2005,146740,141250,58400,1.03886725663717,2.51267123287671
"602","RI",2006,136980,170600,60710,0.802930832356389,2.25630044473728
"603","RI",2007,160880,175820,65190,0.915026731884882,2.46786316919773
"604","RI",2008,167710,185840,67810,0.902442961687473,2.47323403627784
"605","RI",2009,189640,172430,68830,1.09980861798991,2.75519395612378
"606","RI",2010,167360,197440,70640,0.847649918962723,2.36919592298981
"607","RI",2011,132180,199240,72720,0.663420999799237,1.81765676567657
"608","RI",2012,121730,205280,73070,0.592994933749026,1.66593677295744
"609","RI",2013,168290,195610,74080,0.860334338735238,2.27173326133909
"610","RI",2014,183180,193800,75510,0.945201238390093,2.4259038537942
"611","RI",2015,180220,174300,76410,1.03396442914515,2.35859180735506
"612","RI",2016,162070,168220,75200,0.963440732374272,2.15518617021277
"613","RI",2017,206520,178230,76650,1.15872748695506,2.69432485322896
"614","RI",2018,254190,175250,78420,1.4504422253923,3.24139250191278
"615","SC",2004,136490,134400,50660,1.0155505952381,2.69423608369522
"616","SC",2006,131910,155750,53210,0.8469341894061,2.4790452922383
"617","SC",2007,152750,160120,55820,0.953972020984262,2.73647438194196
"618","SC",2008,162250,170410,57610,0.952115486180388,2.81635132789446
"619","SC",2009,173530,162880,59680,1.06538555992141,2.90767426273458
"620","SC",2010,167680,163740,60040,1.02406253817027,2.79280479680213
"621","SC",2011,156630,172950,61350,0.905637467476149,2.55305623471883
"622","SC",2012,157220,177960,58940,0.883456956619465,2.66745843230404
"623","SC",2013,169390,179050,59670,0.946048589779391,2.83877995642702
"624","SC",2014,183150,184860,59670,0.990749756572541,3.06938159879336
"625","SC",2015,195350,202120,61110,0.966505046507026,3.19669448535428
"626","SC",2016,191520,225440,63470,0.849538679914833,3.0174885772806
"627","SC",2017,192800,234420,63630,0.82245542189233,3.03001728744303
"628","SC",2018,172780,235790,64940,0.732770685779719,2.66060979365568
"629","SD",2004,157000,127930,45410,1.22723364339873,3.45738824047567
"630","SD",2005,147570,141420,47500,1.04348748408994,3.10673684210526
"631","SD",2006,157660,147100,49560,1.07178789938817,3.18119451170299
"632","SD",2007,164220,147550,50830,1.11297865130464,3.23076923076923
